Class Name,Class Code,Department,Units,Class Description,Class URL
Public Health Practicum and Culminating Experience,PUBHLTH 195W,Public Health,8 Units,Provides direct opportunities for Public Health majors to observe and participate in public health activities and/or research; and to cultivate skills for verbal and written communication of contemporary public health topics for an integrative culminating experience. Prerequisite: PUBHLTH 1 and PUBHLTH 2. Satisfactory completion of the Lower-Division Writing requirement. Restriction: Upper-division students only. Public Health Sciences Majors only. Public Health Policy Majors only. (Ib),https://catalogue.uci.edu/allcourses/pubhlth/
Clinical and Translational Research Preparatory I - Community-Based Research and Evaluation,PUBHLTH 196A,Public Health,4 Units,"Provides training for students with an interest in clinical and translational research in a community-based setting. Cultivates skills for study design, research literature review, ethics, responsible conduct of research, and cultural competence while emphasizing professionalism and personal responsibility. Overlaps with PUBHLTH 194A.",https://catalogue.uci.edu/allcourses/pubhlth/
Clinical and Translational Research Preparatory II - Community-Based Research and Evaluation,PUBHLTH 196B,Public Health,4 Units,Provides the unique opportunity for students to participate in research in two or more community-based settings. Builds on preparation through PUBHLTH 196A to support exploration of various research topics. Prerequisite: PUBHLTH 196A 2939,https://catalogue.uci.edu/allcourses/pubhlth/
Clinical and Translational Research Preparatory III - Community-Based Research and Evaluation III,PUBHLTH 196C,Public Health,4 Units,"Final course in the 196 series where students have the unique opportunity to participate in permanent research rotation. Instructs students how to design, perform, interpret, and discuss independent research in a collaborative atmosphere. Prerequisite: PUBHLTH 196B",https://catalogue.uci.edu/allcourses/pubhlth/
Field Studies in Public Health,PUBHLTH 197,Public Health,2-12 Units,For students who may either accompany faculty members on field trips or engage in post-practicum work at a field agency. Prerequisite: PUBHLTH 1 and PUBHLTH 2 Grading Option: Pass/no pass only. Repeatability: May be taken for credit for 12 units.,https://catalogue.uci.edu/allcourses/pubhlth/
Directed Studies,PUBHLTH 198,Public Health,1-4 Units,Student participation in a series of research-related activities performed in an individual or small-group setting under the guidance of a faculty advisor. Prerequisite: PUBHLTH 1 Grading Option: Pass/no pass only. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/pubhlth/
Undergraduate Research,PUBHLTH 199,Public Health,1-4 Units,"Original research with Public Health faculty. Attendance at regular research group meetings is also generally expected, and a quarterly written report is required. Strongly recommended for students considering research careers and/or graduate degree programs. Repeatability: May be repeated for credit unlimited times. Restriction: Upper-division students only.",https://catalogue.uci.edu/allcourses/pubhlth/
Foundations of Public Health,PUBHLTH 200,Public Health,4 Units,"Presents the overarching framework, principles, and core responsibilities of public health research and practice from a multidisciplinary perspective. Provides necessary foundation for further studies toward advanced cross-cutting approaches essential for public health practice. Restriction: College of Health Sciences students only. Program in Public Health students only. Master of Public Health Degree students only. Graduate students only. Public Health Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
Biostatistics I: Introduction to Statistical Methods,PUBHLTH 204,Public Health,4 Units,"Designed to help students develop an appreciation for statistician's view of the research process, emphasizing biomedical research. Instills an understanding of how statistical models are used to yield insights about data that form evidence-based understanding of the world around us. Same as EPIDEM 204A. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/pubhlth/
Biostatistics II: Intermediate Statistical Methods,PUBHLTH 204B,Public Health,4 Units,"Intended for graduate students in epidemiology, public health, and clinical research fields. Covers common regression-modeling techniques frequently used in biologic and medical applications. Prerequisite: EPIDEM 204. EPIDEM 204 with a grade of B or better Repeatability: May be taken for credit 2 times. Same as EPIDEM 204B. Restriction: Graduate students only. 2940",https://catalogue.uci.edu/allcourses/pubhlth/
Biostatistics III: Advanced Statistical Methods,PUBHLTH 204C,Public Health,4 Units,"Intended for graduate students in epidemiology, public health, and related fields. Introduces statistical methods for analyzing survival and longitudinal/ clustered data, and techniques to resolve missing data. Prerequisite: EPIDEM 204B. EPIDEM 204B with a grade of B or better Repeatability: May be taken for credit 2 times. Same as EPIDEM 204C. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/pubhlth/
Principles of Epidemiology,PUBHLTH 206A,Public Health,4 Units,"Fundamental principles of epidemiology, biostatistics, and epidemiological research. Topics include research methods of measuring health problems in populations, disease control and prevention in populations, how epidemiology contributes to knowledge of disease etiology, and biostatistical analysis and interpretation of epidemiologic data. Same as EPIDEM 200A. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/pubhlth/
Intermediate Epidemiology,PUBHLTH 206B,Public Health,4 Units,"Learn to design and conduct epidemiologic studies using common designs. Determine why bias and measurement error arise in observational studies, and how they influence effect estimates. Perform and interpret epidemiologic data analyses using statistical software. Prerequisite: PUBHLTH 206A. PUBHLTH 206A with a grade of B or better Same as EPIDEM 200B. Restriction: College of Health Sciences students only. Program in Public Health students only. Master of Public Health Degree students only. Graduate students only. Epidemiology Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
Advanced Epidemiologic Methods,PUBHLTH 206C,Public Health,4 Units,"Advanced topics in the design and statistical analysis of epidemiologic studies. Topics include simulation methods, counter-matching and multiphase study designs, missing data, and Bayesian analysis. Published simulation studies are discussed and replicated using the R software package. Prerequisite: EPIDEM 200A and EPIDEM 200B. EPIDEM 200A with a grade of B or better. EPIDEM 200B with a grade of B or better Same as EPIDEM 200C.",https://catalogue.uci.edu/allcourses/pubhlth/
Probability and Statistics in Public Health,PUBHLTH 207A,Public Health,4 Units,"An introduction to probability and statistical methods, using examples in public health. Topics include descriptive statistics, laws of probability, discrete and continuous probability distributions, estimation, confidence intervals, hypothesis testing, and power calculations for one- and two-sample comparisons. Prerequisite: PUBHLTH 206A. PUBHLTH 206A with a grade of B or better Restriction: Program in Public Health students only. Master of Public Health Degree students only. Graduate students only. Public Health Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
Analysis of Public Health Data Using Statistical Software,PUBHLTH 207B,Public Health,4 Units,"Overview of common statistical methods in public health and how to implement them in R. Topics include linear regression, ANOVA, the Kruskal-Wallis test, logistic regression, missing data and censoring, Kaplan-Meier survival curves, log-rank tests, and Cox regression. Prerequisite: PUBHLTH 207A. PUBHLTH 207A with a grade of B or better Restriction: Program in Public Health students only. Master of Public Health Degree students only. Graduate students only. Public Health Majors only.",https://catalogue.uci.edu/allcourses/pubhlth/
